Name Of Project,Address,City,State,Primary Funding Source/ Assistance Type Description,Primary Expiration Date,Total Units,Restricted/ Assisted Units,Target Group (Senior),Type of Conversion Risk
Pico Union Ii Scatteresd Sites (Nuevo Pico  Union Apartments),"1032 Beacon,1655-1659
11Th Pl,1335-1139 17Th
St, 1349 Westlake",Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/19,16,16,No,Restriction Expiration
Wilshire Christian Manor,616 S. Normandie Ave.,Los Angeles,CA,HUD Section 202 Supportive Housing for the Elderly,1/01/19,288,117,Yes,Mortgage Maturity/ Prepayment
515 W. 90Th Apts,515 W. 90Th St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/19,8,8,No,Restriction Expiration
La Jolla Hotel,721 E. 6Th Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/20/19,53,53,No,Restriction Expiration
La Jolla Hotel (Part Ii),721 E. 6Th Street (Scattered),Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/20/19,35,35,No,Restriction Expiration
Sunshine Mission,2600 S. Hoover,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/27/19,73,73,No,Restriction Expiration
Casa De Rosas,2600 South Hoover Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/27/19,71,55,No,Restriction Expiration
Casa Familia Iii,730 E. Adams Street ( 726 E. Adams St),Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/02/19,8,8,No,Restriction Expiration
Buena Vista,1423 N. Broadway,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),2/02/19,20,20,No,Restriction Expiration
Sunflower 87Th Street,138 E. 87Th St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),2/02/19,10,10,No,Restriction Expiration
Pico Union Villa,1200 S. Union Ave.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),2/21/19,115,115,Yes,Restriction Expiration
Strathern Park Apts,11111 W. Strathern St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),3/31/19,170,169,No,Restriction Expiration
"Terminal Hotel/ Ro,Chae & Chin",1331 E. 7Th Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),10/04/19,66,66,No,Restriction Expiration
Ward Hotel,512 S. Wall St.,Los Angeles,CA,California Housing and Community Development Multifamily Housing Programs (HCD),5/06/19,75,75,No,Restriction Expiration
Gay & Lesbian Adolescent,1808 S. St. Andrews Place,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),6/27/19,6,6,No,Restriction Expiration
Roscoe Park Apartments,21023 W. Roscoe Blvd.,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),7/31/19,82,82,No,Rental Subsidy Termination
Reseda East,18450 W. Ingomar St.,Los Angeles,CA,California Housing Finance Agency Multifamily Housing Programs (CalHFA),8/08/19,70,70,Yes,Restriction Expiration
Reseda Manor,7725 N. Reseda Blvd.,Los Angeles,CA,California Housing Finance Agency Multifamily Housing Programs (CalHFA),12/09/19,40,40,Yes,Restriction Expiration
"Beyond Shelter (1455
E. 23Rd St Apts)",1455 E. 23Rd St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),10/17/19,2,2,No,Restriction Expiration
Buchanan Street House (Group Home),4902 Buchanan Street,Los Angeles,CA,California Housing and Community Development Multifamily Housing Programs (HCD),12/13/19,5,5,No,Restriction Expiration
1354 W. 25Th St Apts,1354 W. 25Th St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),12/13/19,2,2,No,Restriction Expiration
Burlington Arms,817 S. Burlington Ave.,Los Angeles,CA,California Housing Finance Agency Multifamily Housing Programs (CalHFA),12/21/19,54,54,No,Restriction Expiration
Roy Aberdeen,1115 Valencia St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),12/30/19,4,4,No,Restriction Expiration
Marengo Street Apts,2649 E. Marengo St.,Los Angeles,CA,California Low-Income Housing Tax Credit Program (LIHTC),12/31/19,24,24,No,Restriction Expiration
Flores Apartments,1507 W. Pico Blvd.,Los Angeles,CA,California Low-Income Housing Tax Credit Program (LIHTC),12/31/19,26,26,No,Restriction Expiration
1513 W. Pico Blvd.,1513 W. Pico Blvd.,Los Angeles,CA,California Low-Income Housing Tax Credit Program (LIHTC),12/31/19,32,32,No,Restriction Expiration
Casa Pico Union Ii 3/7,1420 S. Toberman St,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,6,6,No,Restriction Expiration
Yorkshire Terrace Apts.,1033 S. Burlington Ave.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,18,18,No,Restriction Expiration
Homestead (Pacific Living Alternatives),16020 Gresham St,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,12,12,Yes,Restriction Expiration
Eleventh Avenue Apartments,6720 11Th Avenue,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,22,22,No,Restriction Expiration
Casa Pico Union Ii 7/7,1432 S. Valencia St,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,4,4,No,Restriction Expiration
Casa Pico Union Ii 6/7,1401 S. Toberman St,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,4,4,No,Restriction Expiration
Casa Pico Union I 2/7,1132 W. 18Th Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,6,6,No,Restriction Expiration
Casa Pico Union Ii 4/7,1344 S. Toberman St,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,4,4,No,Restriction Expiration
Pico Union Manor- Pu Terrace,1542 W. 11Th Pl.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,8,8,No,Restriction Expiration
Casa Pico Union Ii 2/7,1420 S. Union Ave,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,4,4,No,Restriction Expiration
Casa Pico Union I 7/7,1808 S. Burlington St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,1,1,No,Restriction Expiration
Casa Pico Union I 3/7,1705 S. Union Avenue,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,12,12,No,Restriction Expiration
Casa Pico Union I 6/7,1115 W. 18Th Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,1,1,No,Restriction Expiration
Casa Pico Union Ii 1/7,1317 S. Toberman St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,16,16,No,Restriction Expiration
Casa Pico Union I 5/7,1619 S. Union Avenue,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,6,6,No,Restriction Expiration
Casa Pico Union I 4/7,1103 W. 17Th Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,2,2,No,Restriction Expiration
Casa Pico Union Ii 5/7,1550 W. 14Th St,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/20,3,3,No,Restriction Expiration
2500 Hobart Apts,2500 S Hobart Blvd.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),12/01/20,52,52,No,Restriction Expiration
Bartlett Hill Manor/ Bunker Hill Ave,816 Bartlett,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/15/20,65,65,No,Restriction Expiration
1462 Playground Street Apts,1462 Playground Street,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Neighborhood Preservation Program (NPP),1/31/20,5,5,No,Restriction Expiration
E. Victor Villa,555 W. 92Nd St.,Los Angeles,CA,HUD Section 202 Supportive Housing for the Elderly,1/02/20,46,42,Yes,Mortgage Maturity/ Prepayment
"Villa Encanto Apts (Dolores Frances Affordable, Pico- Union Housing Corp)",1408 W. 11Th St,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/02/20,18,16,No,Restriction Expiration
Casa Pico Union I 1/7,1102 W. 17Th St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/02/20,16,16,No,Restriction Expiration
Pico Union Square Ii,1430 S. Toberman St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),2/21/20,8,8,No,Restriction Expiration
Pico Union Square I,1421 S. Toberman St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),2/21/20,10,10,No,Restriction Expiration
Grand View Terrace,3940 S. Grand View Blvd,Los Angeles,CA,California Housing Finance Agency Multifamily Housing Programs (CalHFA),2/29/20,191,190,Yes,Restriction Expiration
Miramar Towers,2000 W. Miramar St.,Los Angeles,CA,California Housing Finance Agency Multifamily Housing Programs (CalHFA),3/24/20,157,156,No,Restriction Expiration
Alcoholism Center For Women,1135 S. Alvarado St,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),4/25/20,22,22,No,Restriction Expiration
Sangnok Apartments,726 S. Bonnie Brae St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),5/20/20,60,60,Yes,Restriction Expiration
Village Acquisition,10415 Lurline,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),6/25/20,12,12,No,Restriction Expiration
His Sheltering Arms,11101 S. Main Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),6/30/20,110,110,No,Restriction Expiration
Gentry Village,6842 N. Gentry Ave.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/09/20,3,3,No,Restriction Expiration
Stage Inn (A.k.a. Hollywood State Inn),1057 Vine Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),10/20/20,30,30,No,Restriction Expiration
Academy Village,5225 N. Blakeslee Ave.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),10/26/20,248,50,No,Restriction Expiration
Westminster Park Plaza Apts (9400 Maie Avenue Apts),9200 S. Maie Ave.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),12/15/20,130,130,No,Restriction Expiration
Women’s Care Cottage,6428 Whitsett Ave,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),12/19/20,15,15,No,Restriction Expiration
Duane Heights,2271 Duane St.,Los Angeles,CA,California Low-Income Housing Tax Credit Program (LIHTC),12/31/20,14,14,No,Restriction Expiration
Vendome Apartments (Vendome Palms -Pshp),975 N. Vendome St.,Los Angeles,CA,California Low-Income Housing Tax Credit Program (LIHTC),12/31/20,43,41,No,Restriction Expiration
Dalton Arms,2640 S. Dalton Ave.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/21,5,5,No,Restriction Expiration
Armay Bakery/Noodle Co.,686 N Spring St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),1/01/21,4,4,No,Restriction Expiration
Wisconsin Ii (3839 Wisconsin St Apts #2),3839 Wisconsin St,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),11/01/21,12,12,No,Restriction Expiration
Caring For Babies With Aids,5930 Comey Avenue,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),12/01/21,8,8,No,Restriction Expiration
"Otero Apartments, Ltd",3639 E. Whittier Blvd,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),8/02/21,7,7,No,Restriction Expiration
Lorne Park,11040 Lorne St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),3/31/21,72,55,No,Restriction Expiration
Vermont Knoll Retirement,1016 W. 83Rd St.,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Housing Bond Financing Program (MHBP),1/04/21,93,18,No,Restriction Expiration
La Men’’S Place (Lamp Lodge Or Lamp Community),660 Stanford Avenue,Los Angeles,CA,California Housing and Community Development Multifamily Housing Programs (HCD),4/16/21,51,50,No,Restriction Expiration
New Horizons Iii,15713 W. Parthenia St.,Los Angeles,CA,HUD Section 202/811 Non-profit Elderly and Handicapped Mortgage Program,1/06/21,6,6,Yes,Mortgage Maturity/ Prepayment
New Horizons Ii,15746 W. Parthenia St,Los Angeles,CA,HUD Section 202/811 Non-profit Elderly and Handicapped Mortgage Program,1/06/21,6,6,Yes,Mortgage Maturity/ Prepayment
New Horizons I,15756 W. Parthenia St,Los Angeles,CA,HUD Section 202/811 Non-profit Elderly and Handicapped Mortgage Program,1/06/21,6,6,Yes,Mortgage Maturity/ Prepayment
12342 Osborne Place,12342 W. Osborne Pl.,Los Angeles,CA,City of Los Angeles Land Use Restrictions - Density Bonus,7/06/21,24,5,No,Restriction Expiration
Casa Del Sol,1308 N. Lyman Pl.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),6/27/21,8,8,No,Restriction Expiration
Manhattan Place,3663 W. 9Th Street,Los Angeles,CA,California Housing Finance Agency Multifamily Housing Programs (CalHFA),1/07/21,60,30,Yes,Restriction Expiration
New Hampshire Villa,625 N New Hampshire Ave,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),7/25/21,18,18,No,Restriction Expiration
Alice Manor,10305 S. Grandee,Los Angeles,CA,HUD Section 202/811 Non-profit Elderly and Handicapped Mortgage Program,1/09/21,60,60,Yes,Mortgage Maturity/ Prepayment
"Hayes, Ethel",2203 S. Harvard Blvd.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),9/26/21,2,2,No,Restriction Expiration
La Family Harmony Apartments,5319 N. Harmony Ave.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),9/30/21,18,18,No,Restriction Expiration
Wattswood Relocation 2/8,1401 E. 52Nd Street,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),9/30/21,4,4,No,Rental Subsidy Termination
Wattswood Relocation 1/8,629 E. 48Th St.,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),9/30/21,12,12,No,Rental Subsidy Termination
Wattswood Relocation 6/8,1639 E. 92Nd Street,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),9/30/21,11,11,No,Rental Subsidy Termination
Filipino American Service Group,135 N Park View St,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),10/16/21,20,20,No,Restriction Expiration
St. James Place (St. James Square),1833 W. 5Th Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),12/19/21,70,70,No,Restriction Expiration
