Name Of Project,Address,Primary Funding Source/ Assistance Type Description,Primary Expiration Date,Total Units,Restricted/ Assisted Units,Target Group (Senior),Type of Conversion Risk
Jewel Terraces-2,1460 W. 27Th St,HUD Project-Based Section 8 Rental Assistance (PBRA),41274,8,8,No,Rental Subsidy Termination
Van Buren Apts,2723 S. Van Buren Pl.,HUD Project-Based Section 8 Rental Assistance (PBRA),41274,29,29,No,Rental Subsidy Termination
Dudley Oaks Apartments,2119 Oak St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41274,20,20,No,Rental Subsidy Termination
Jewel Terraces-3,2950 Van Buren Pl.,HUD Project-Based Section 8 Rental Assistance (PBRA),41274,12,12,No,Rental Subsidy Termination
Jewel Terraces-1,1420 W. 27Th Street,HUD Project-Based Section 8 Rental Assistance (PBRA),41274,12,12,No,Rental Subsidy Termination
Sherman Park Apts,17960 Sherman Way,HUD Project-Based Section 8 Rental Assistance (PBRA),41274,135,135,Yes,Rental Subsidy Termination
Las Palomas Apts,3025 E. Gleason Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41274,47,47,Yes,Rental Subsidy Termination
4 Streets Cooperative (Part Ii),627 N. Berendo St,Housing Authority of the City of Los Angeles (HACLA) - Moderate Rehabilitation Program (MRP),41291,30,29,No,Rental Subsidy Termination
Marathon Cooperative (Part I),3017 W. Del Monte Dr,Housing Authority of the City of Los Angeles (HACLA) - Moderate Rehabilitation Program (MRP),41298,51,49,No,Rental Subsidy Termination
Sherman Arms Apts.,17760 W. Sherman Way,HUD Project-Based Section 8 Rental Assistance (PBRA),41305,74,74,Yes,Rental Subsidy Termination
Marathon Cooperative (Part Ii),723 N Maltman Ave,Housing Authority of the City of Los Angeles (HACLA) - Moderate Rehabilitation Program (MRP),41305,1,1,No,Rental Subsidy Termination
Laurel Canyon Terrace,9866 Laurel Canyon Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),41305,52,52,No,Rental Subsidy Termination
Casa Linda I,11425 W. Tiara St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41305,3,3,No,Rental Subsidy Termination
St. Andrews Gardens,2062 W. Adams Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),41305,192,192,No,Rental Subsidy Termination
Casa Linda Ii,11233 W. Hatteras,HUD Project-Based Section 8 Rental Assistance (PBRA),41305,3,3,No,Rental Subsidy Termination
Casa Linda Iii,5654 N. Fulcher Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41305,3,3,No,Rental Subsidy Termination
4 Streets Cooperative Of Route 2 (Part Iii),4203 Clinton,Housing Authority of the City of Los Angeles (HACLA) - Moderate Rehabilitation Program (MRP),41276,5,5,No,Rental Subsidy Termination
Parthenia Townhouses,21218 W. Parthenia St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41333,24,11,No,Rental Subsidy Termination
Runnymede Holiday Apts,11744 Runnymede,HUD Project-Based Section 8 Rental Assistance (PBRA),41333,40,40,No,Rental Subsidy Termination
Miyako Gardens (Little Tokyo Gardens),223 S. Central Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41333,100,100,No,Rental Subsidy Termination
Westside Cloverdale,3006 S. Cloverdale Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41333,8,8,No,Rental Subsidy Termination
Park View Terrace Apts,2451 W. 7Th St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41333,95,95,Yes,Rental Subsidy Termination
Union Tower,455 S. Union Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41277,200,200,Yes,Rental Subsidy Termination
Arleta Park Apts.,14104 W. Van Nuys Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),41277,24,24,No,Rental Subsidy Termination
One Venice,1 N. Venice Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),41550,50,50,Yes,Rental Subsidy Termination
Marathon Cooperative (Part Iii),723 N Maltman Ave,Housing Authority of the City of Los Angeles (HACLA) - Moderate Rehabilitation Program (MRP),41581,1,1,No,Rental Subsidy Termination
Oxford Park,1920 S. Oxford Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41364,109,109,Yes,Rental Subsidy Termination
Grand View Homes,1114 S. Grand View Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41364,26,26,No,Rental Subsidy Termination
Casa Longwood,2535 S. Longwood Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41364,20,20,No,Rental Subsidy Termination
Southside Apts.- Central Ave,10950 S. Central Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41459,32,32,No,Rental Subsidy Termination
Sherman Way Biltmore,17924 Sherman Way,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,102,102,No,Rental Subsidy Termination
Two Worlds Ii-Burlington,1401 S. Burlington,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,24,24,No,Rental Subsidy Termination
Holiday 101 B,106 N. Commonwealth Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,44,44,No,Rental Subsidy Termination
Holiday 101 C,751 S. Hoover St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,39,39,No,Rental Subsidy Termination
Holiday 101 C,408 S. Burlington Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,33,33,No,Rental Subsidy Termination
Holiday 102,3021 Shrine Pl.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,24,24,No,Rental Subsidy Termination
La Pro Xxx Apartments/5,1606 W. 47Th St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,17,17,No,Rental Subsidy Termination
Holiday 102,1348 W. 20Th St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,15,15,No,Rental Subsidy Termination
La Pro Xxx Apartments/4,1106 S. Harvard Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,29,29,No,Rental Subsidy Termination
La Pro Xxx Apartments/3,1340 S. Westlake Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,20,20,No,Rental Subsidy Termination
La Pro Xxx Apartments/2,2657 S. Budlong Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,34,34,No,Rental Subsidy Termination
La Pro Xxx Apartments/6,306 S. Columbia Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,20,20,No,Rental Subsidy Termination
Holiday 102,900 W. Adams Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,16,16,No,Rental Subsidy Termination
Holiday 101 B,4163 Monroe St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,28,28,No,Rental Subsidy Termination
La Pro Xxx Apartments/1,817 S. Park View St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,20,20,No,Rental Subsidy Termination
Holiday 101 C,402 S. Burlington Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,21,21,No,Rental Subsidy Termination
Holiday 101 A,1102 W. 41St Pl.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,32,32,No,Rental Subsidy Termination
Holiday 101 C,1241 Ingraham St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,29,29,No,Rental Subsidy Termination
Holiday 101 A,1131 S. Bronson Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,35,35,No,Rental Subsidy Termination
Holiday 101 B,258 S. Coronado St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,23,23,No,Rental Subsidy Termination
Holiday 101 A,1103 W. 42Nd St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,32,32,No,Rental Subsidy Termination
Holiday 101 A,2962 Francis Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,20,20,No,Rental Subsidy Termination
Two Worlds Ii-Kingsley,1228 S. Kingsley Dr.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,9,9,No,Rental Subsidy Termination
Two Worlds Ii-Fedora,1401 S. Fedora,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,9,9,No,Rental Subsidy Termination
Two Worlds Ii-Union,420 S. Union Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,19,19,No,Rental Subsidy Termination
Holiday 101 B,250 S. Coronado St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,22,22,No,Rental Subsidy Termination
Holiday 102,427 Union Dr.,HUD Project-Based Section 8 Rental Assistance (PBRA),41394,35,35,No,Rental Subsidy Termination
Adams Blvd Apts.,4230 W Adams Blvd,HUD Project-Based Section 8 Rental Assistance (PBRA),41522,12,12,No,Rental Subsidy Termination
Casa Development,1151 S. New Hampshire Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41425,158,158,No,Rental Subsidy Termination
La Pro Ii Apts/Denker,3909 S. Denker Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41425,20,20,No,Rental Subsidy Termination
La Pro Ii Apts/Ruthelen,5311 S. Ruthelen St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41425,20,20,No,Rental Subsidy Termination
Griffith Gardens,1144 E. 24Th St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41425,39,39,No,Rental Subsidy Termination
La Pro Ii Apts/Menlo,3977 S. Menlo Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41425,20,20,No,Rental Subsidy Termination
Foothill Terrace,13751 Hubbard Ave,HUD Project-Based Section 8 Rental Assistance (PBRA),41425,40,40,No,Rental Subsidy Termination
La Pro Ii Apts/Berendo,1100 S. Berendo,HUD Project-Based Section 8 Rental Assistance (PBRA),41425,20,20,No,Rental Subsidy Termination
Milwood Apts,6922 N. Milwood Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41425,8,8,Yes,Rental Subsidy Termination
La Pro Ii Apts/Western,10311 S. Western Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41425,24,24,No,Rental Subsidy Termination
Little Tokyo Towers,455 E. 3Rd Street,HUD Project-Based Section 8 Rental Assistance (PBRA),41425,301,301,Yes,Rental Subsidy Termination
Harvard Gardens,1928 S. Harvard Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),41553,35,35,No,Rental Subsidy Termination
Beverly Manor,334 N. Normandie Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41455,76,76,No,Rental Subsidy Termination
Sunset Normandie Apts (Normandie Towers),1412 N. Normandie Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41455,148,148,Yes,Rental Subsidy Termination
Columbus Terrace Apts,8606 Columbus Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41455,42,42,Yes,Rental Subsidy Termination
Wilton Wilshire Arms,3966 W. Wilshire Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),41455,73,73,Yes,Rental Subsidy Termination
Imogene Housing,716 Imogen Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41483,16,16,No,Rental Subsidy Termination
S & J Limited Ii  - Site 1 Of 6,679 E. 41St St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41486,16,16,No,Rental Subsidy Termination
S & J Limited Ii  - Site 5 Of 6,235 W. 47Th Street,HUD Project-Based Section 8 Rental Assistance (PBRA),41486,8,8,No,Rental Subsidy Termination
S & J Limited Ii  - Site 4 Of 6,4517 S. Normandie,HUD Project-Based Section 8 Rental Assistance (PBRA),41486,16,16,No,Rental Subsidy Termination
S & J Limited Ii  - Site 3 Of 6,245 W. 64Th Street,HUD Project-Based Section 8 Rental Assistance (PBRA),41486,5,5,No,Rental Subsidy Termination
S & J Limited Ii  - Site 2 Of 6,6320 S. Broadway,HUD Project-Based Section 8 Rental Assistance (PBRA),41486,18,18,No,Rental Subsidy Termination
New Hampshire Arms,819 S. New Hampshire Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41486,36,36,No,Rental Subsidy Termination
S & J Limited Ii  - Site 6 Of 6,900 E. 28Th Street,HUD Project-Based Section 8 Rental Assistance (PBRA),41486,10,10,No,Rental Subsidy Termination
Pendleton Arms,8320 N. Laurel Canyon Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),41486,56,56,No,Rental Subsidy Termination
Mariposa Manor,756 S Mariposa Av,HUD Project-Based Section 8 Rental Assistance (PBRA),41486,71,69,Yes,Rental Subsidy Termination
Astoria Gardens,14001 Astoria St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41486,137,137,No,Rental Subsidy Termination
Tripp House,1130 S. Palos Verdes Street,Housing Authority of the City of Los Angeles (HACLA) - Shelter Plus Care Program (SPC),41502,4,4,No,Rental Subsidy Termination
Valley Village Harding Project,12920 Altano St.,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),41517,7,6,Yes,Rental Subsidy Termination
Rayen Park Apartments,15233 Rayen St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41517,84,84,Yes,Rental Subsidy Termination
Carondelet Senior Apartments,512 S. Carondelet St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41517,46,46,No,Rental Subsidy Termination
Mountain View Estates,10655 Tujunga Canyon Blvd,HUD Project-Based Section 8 Rental Assistance (PBRA),41532,23,23,No,Rental Subsidy Termination
Western Gardens Apts (Curtis Tucker Apts),1742 W 84Th Pl,HUD Project-Based Section 8 Rental Assistance (PBRA),41544,35,35,No,Rental Subsidy Termination
Kittridge Gardens Ii,6640 Wilbur Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41547,80,80,No,Rental Subsidy Termination
Woodman Manor Apts,6712 N. Woodman Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41547,100,100,Yes,Rental Subsidy Termination
Banning Villa,1100 N. Banning Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),41547,90,90,Yes,Rental Subsidy Termination
St. Nicholas Cedars Manor,2323 W. 4Th St.,HUD Project-Based Section 8 Rental Assistance (PBRA),40646,26,26,Yes,Rental Subsidy Termination
"134-134 1/2 West
93Rd Street",134 W. 93Rd Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Neighborhood Preservation Program (NPP),41195,2,1,No,Restriction Expiration
10001 S. Compton Ave,10001 S. Compton Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41627,50,50,Yes,Restriction Expiration
Pico Plaza,1226 S. Arapahoe St.,HUD Section 221 (D)(3) Assisted Mortgage Program,41640,43,43,No,Mortgage Maturity/ Prepayment
Eco Village Bldg (Crsp),117 Bimini Pl.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41640,40,40,No,Restriction Expiration
"5253 N. Denny Ave Apts (Poster, David & Grace)",5253 N. Denny Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41640,5,5,No,Restriction Expiration
718 Amador Street,718 W. Amador St.,Los Angeles Housing and Community Investment Department (HCIDLA) - Neighborhood Preservation Program (NPP),41883,2,2,No,Restriction Expiration
6201 Ocean Front Walk #4,6201 S. Ocean Front Wk.,City of Los Angeles Land Use Restrictions,41652,4,1,No,Restriction Expiration
Haven #501,1330 S. Burlington Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41641,50,50,No,Mortgage Maturity/ Prepayment
1406 East 23Rd Street,1406 E. 23Rd Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),41700,3,3,No,Restriction Expiration
Willow Wood,5104 Denny Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41691,19,19,No,Restriction Expiration
Lieberman/Benandon,5528 N. Elmer Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,5,5,No,Restriction Expiration
5314 Riverton Apts,5314 N. Riverton Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,6,6,No,Restriction Expiration
Howarth Vineland Apts.,5752 Vineland Ave,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,8,8,No,Restriction Expiration
"Mirabella/Abdelmesseh, Khedry",11039 Cumpston St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,7,4,No,Restriction Expiration
5731 Fair Ave,5731 N. Fair Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,6,6,No,Restriction Expiration
5224 Cleon Avenue Apts (Ycaza),5224 Cleon Avenue,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,7,5,No,Restriction Expiration
5320 Denny Ave Apts,5320 N. Denny Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,6,6,No,Restriction Expiration
"5552 Elmer Ave Apts (Sorkin, Jack & Miriam)",5552 N. Elmer Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,6,6,No,Restriction Expiration
5536 Fulcher Ave,5536 N. Fulcher Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,5,5,No,Restriction Expiration
4600 Vineland Apts,4600 N. Vineland Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,5,5,No,Restriction Expiration
"5540 Bonner Avenue Apts (Ropp, William
F. And Carroll J)",5540 N. Bonner Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,7,7,No,Restriction Expiration
11428 Killion St. Apts,11428 W. Killion St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,7,7,No,Restriction Expiration
5229 Cleon Ave,5229 N. Cleon Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,11,11,No,Restriction Expiration
"5017 Denny Ave Apts (Parker, Bruce & Elizabeth)",5017 N. Denny Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,8,8,No,Restriction Expiration
5538 Klump Ave Apts,5538 N. Klump Ave. #1-6,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,6,6,No,Restriction Expiration
Litke/Litke,11220 Cumpston St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,3,3,No,Restriction Expiration
5418 N. Willowcrest Ave. Apts,5418 N. Willowcrest Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,12,12,No,Restriction Expiration
11424 Killion St. Apts,11424 W. Killion St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,7,7,No,Restriction Expiration
5057 Klump Ave Apts,5057 N. Klump Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,28,28,No,Restriction Expiration
"Restrepo, Melinda",11021 W. Hesby St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,10,10,No,Restriction Expiration
"Collett, G & M (5630 Elmer Ave Apts)",5630 N. Elmer Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,8,8,No,Restriction Expiration
5524 Elmer Ave Apts,5524 N. Elmer Ave. #1,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,2,2,No,Restriction Expiration
Dixon - Eldorado Townhomes,5545 N. Elmer Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,5,5,No,Restriction Expiration
Bennett/Wedeen,5742 N. Willowcrest Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,5,5,No,Restriction Expiration
"5705 Willowcrest Ave (Oros, Leroy)",5705 N. Willowcrest Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,8,8,No,Restriction Expiration
"11017 Hartsook Apts (Kurges, Charles & Elaine)",11017 W. Hartsook St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,6,6,No,Restriction Expiration
5412 Willowcrest Ave Apts,5412 Willowcrest Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,5,5,No,Restriction Expiration
"Bishop, Evelyn (5534 Bonner Ave Apts)",5534 N. Bonner Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,8,8,No,Restriction Expiration
Butcher/Olson,11415 W. Albers St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,8,8,No,Restriction Expiration
Chateau Fair/ Lance & Miller,5662 N. Fair Ave. #1-31,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,31,31,No,Restriction Expiration
11039-47 Cumpston Apts,11039 W. Cumpston St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,7,4,No,Restriction Expiration
"Collett, Wermes (5229 Harmony Apts)",5229 N. Harmony Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,8,8,No,Restriction Expiration
"11047-57 1/2
Hartsook Street",11047 W. Hartsook Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,10,10,No,Restriction Expiration
"5252 Cartwright Ave Apts (Simonelli, Frank)",5252 N. Cartwright Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41693,5,5,Yes,Restriction Expiration
Pico Union Plaza,1111 W. 17Th St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41698,38,38,No,Rental Subsidy Termination
623-623 1/2 N Mott Street,623 N. Mott Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Neighborhood Preservation Program (NPP),41762,2,2,No,Restriction Expiration
2117-2129 Vallejo Street,2117 Vallejo Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Neighborhood Preservation Program (NPP),41721,11,11,No,Restriction Expiration
Sunset Apts 5/5,259 S. Reno St.,HUD Section 221 (D)(3) Assisted Mortgage Program,41643,20,20,No,Mortgage Maturity/ Prepayment
Sunset Apts 4/5,311 S Columbia St.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41643,15,15,No,Mortgage Maturity/ Prepayment
Sunset Apts 3/5,1023 N Coronado St.,HUD Section 221 (D)(3) Assisted Mortgage Program,41643,18,18,No,Mortgage Maturity/ Prepayment
Sunset Apts 2/5,4363 Lockwood Ave.,HUD Section 221 (D)(3) Assisted Mortgage Program,41643,24,24,No,Mortgage Maturity/ Prepayment
Sunset Apts 1/5,1711 Park Ave.,HUD Section 221 (D)(3) Assisted Mortgage Program,41643,9,9,No,Mortgage Maturity/ Prepayment
Franklin Square,1451 E. 101 St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41750,39,39,No,Restriction Expiration
2306 Trinity Street,2306 Trinity Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),41751,5,5,No,Restriction Expiration
Strathern Court,11100 W. Strathern St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41759,93,93,Yes,Rental Subsidy Termination
Hollywood West Apts/2,5712 La Mirada Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,16,16,No,Mortgage Maturity/ Prepayment
Premier Apts 1/10,368 E. Imperial Highway,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,30,30,No,Mortgage Maturity/ Prepayment
Hollywood West Apts/4,5822 Willoughby Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,16,16,No,Mortgage Maturity/ Prepayment
Mid-Wilshire Apts/5,1100 S. Kingsley Dr.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,23,23,No,Mortgage Maturity/ Prepayment
Mid-Wilshire Apts/1,2826 S. La Salle Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,16,16,No,Mortgage Maturity/ Prepayment
Hollywood West Apts/1,5715 Camerford Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,16,16,No,Mortgage Maturity/ Prepayment
Mid-Wilshire Apts/4,362 Loma Dr.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,16,16,No,Mortgage Maturity/ Prepayment
Mid-Wilshire Apts/3,1128 W. 28Th St.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,12,12,No,Mortgage Maturity/ Prepayment
Premier Apts 7/10,581 W. 92Nd St,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,10,10,No,Mortgage Maturity/ Prepayment
Premier Apts 8/10,961 W. 43Rd St,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,10,10,No,Mortgage Maturity/ Prepayment
Hollywood Parkview 1/2,1244 S. Lake St.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,16,16,No,Mortgage Maturity/ Prepayment
Premier Apts 9/10,833 E. Imperial Highway,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,41644,24,24,No,Mortgage Maturity/ Prepayment
